country,region,iso_code,gid_0,gid_1
Albania,Tiranë,ALB,ALB,ALB.11_1
Algeria,Alger,DZA,DZA,DZA.4_1
Angola,Luanda,AGO,AGO,AGO.11_1
Antigua,Saint Mary,ATG,ATG,NA
Argentina,Buenos Aires,ARG,ARG,ARG.1_1
Argentina,Chaco,ARG,ARG,ARG.3_1
Argentina,Chubut,ARG,ARG,ARG.4_1
Argentina,Ciudad Autónoma de Buenos Aires,ARG,ARG,ARG.5_1
Argentina,Córdoba,ARG,ARG,ARG.6_1
Argentina,Corrientes,ARG,ARG,ARG.7_1
Argentina,Entre Ríos,ARG,ARG,ARG.8_1
Argentina,La Rioja,ARG,ARG,ARG.12_1
Argentina,Mendoza,ARG,ARG,ARG.13_1
Argentina,Misiones,ARG,ARG,ARG.14_1
Argentina,Neuquén,ARG,ARG,ARG.15_1
Argentina,Río Negro,ARG,ARG,ARG.16_1
Argentina,Salta,ARG,ARG,ARG.17_1
Argentina,San Juan,ARG,ARG,ARG.18_1
Argentina,Santa Cruz,ARG,ARG,ARG.20_1
Argentina,Santa Fe,ARG,ARG,ARG.21_1
Argentina,Tucumán,ARG,ARG,ARG.24_1
Armenia,Erevan,ARM,ARM,ARM.4_1
Armenia,Shirak,ARM,ARM,ARM.8_1
Australia,New South Wales,AUS,AUS,AUS.5_1
Australia,Northern Territory,AUS,AUS,AUS.6_1
Australia,Queensland,AUS,AUS,AUS.7_1
Australia,South Australia,AUS,AUS,AUS.8_1
Australia,Victoria,AUS,AUS,AUS.10_1
Australia,Western Australia,AUS,AUS,AUS.11_1
Austria,Niederösterreich,AUT,AUT,AUT.3_1
Austria,Oberösterreich,AUT,AUT,AUT.4_1
Austria,Steiermark,AUT,AUT,AUT.6_1
Austria,Wien,AUT,AUT,AUT.9_1
Azerbaijan,Baku,AZE,AZE,AZE.1_1
Bahamas,San Salvador,BHS,BHS,BHS.27_1
Bahrain,Central,BHR,BHR,BHR.2_1
Bangladesh,Chittagong,BGD,BGD,BGD.2_1
Bangladesh,Dhaka,BGD,BGD,BGD.3_1
Bangladesh,Khulna,BGD,BGD,BGD.4_1
Bangladesh,Rajasahi,BGD,BGD,BGD.5_1
Belarus,Minsk,BLR,BLR,BLR.5_1
Belgium,Bruxelles,BEL,BEL,BEL.1_1
Belgium,Vlaanderen,BEL,BEL,BEL.2_1
Belgium,Wallonie,BEL,BEL,BEL.3_1
Bhutan,Haa,BTN,BTN,BTN.5_1
Bolivia,Chuquisaca,BOL,BOL,BOL.1_1
Bolivia,Cochabamba,BOL,BOL,BOL.2_1
